h3_index;weekly_popularity
88186230e1fffff;1645
8819690045fffff;2518
88196909e5fffff;3204
8819695247fffff;2557
8819695265fffff;3907
8819695359fffff;2538
8819696003fffff;2325
881969c9b7fffff;3543
881e15b70bfffff;4708
881e15b711fffff;6837
881e8052a5fffff;8079
881ea446e3fffff;1552
881eec6b63fffff;2810
881eeeb4c1fffff;3376
881f09b201fffff;5187
881f137551fffff;3510
881f1d4d65fffff;3283
881f718111fffff;3137
881f83833bfffff;1481
881f882b35fffff;2593
881f998969fffff;2259
881f9c8a39fffff;3471
881fa188c7fffff;2573
881fa1aec5fffff;1803
881fa3c0edfffff;4764
881fa3cdedfffff;1782
881fb4644bfffff;5074
881fb4670bfffff;1394
881fb46759fffff;6304
881fb4675bfffff;3209
88275d72d3fffff;1963
88283080c9fffff;12766
88283080cbfffff;24855
88283080d9fffff;11321
88283080ddfffff;33709
8828308101fffff;2142
8828308203fffff;5213
8828308211fffff;2480
882830821bfffff;5091
8828308281fffff;7569
8828308283fffff;4078
8828308285fffff;2662
8828308287fffff;10959
882830828bfffff;7781
882830828dfffff;5929
88283082a1fffff;7792
88283082a3fffff;57748
88283082a7fffff;17116
88283082a9fffff;9865
88283082abfffff;60334
88283082adfffff;7906
88283082b1fffff;3819
88283082b3fffff;6635
88283082b5fffff;24402
88283082b7fffff;40752
88283082b9fffff;16694
88283082bbfffff;2035
88283082bdfffff;19641
88283082c1fffff;3983
88283082c3fffff;4939
88283082c5fffff;2120
88283082d3fffff;3063
88283082d5fffff;5352
88283082e3fffff;2184
8828308327fffff;3676
8828308483fffff;3865
88283085dbfffff;1621
8828308769fffff;5877
882830876dfffff;2338
8828308a8bfffff;2140
8828308a9bfffff;6261
8828308c2bfffff;845
8828308c35fffff;2684
8828309281fffff;1303
88283092ebfffff;1730
8828309465fffff;2837
8828309585fffff;1978
88283095a7fffff;1553
88283095b5fffff;3055
8828309739fffff;5099
88283098b9fffff;2849
88283098d7fffff;3495
882830ba3bfffff;1374
882830d207fffff;2646
88283429b9fffff;4663
882986b801fffff;3596
8829a198a9fffff;2989
882a106051fffff;5651
882a1072cdfffff;2633
882a12b24bfffff;3062
882a8d812dfffff;2110
882aac50e1fffff;2418
882ad48d4bfffff;5300
88342285c7fffff;3648
883426009bfffff;5811
88342601b3fffff;2692
8834260587fffff;9182
8834260617fffff;2004
883426063bfffff;2734
8834260685fffff;3071
88342606a3fffff;3313
88342606a7fffff;1865
88342606b5fffff;3982
88342606e1fffff;1356
88342606e3fffff;2624
88342606ebfffff;18641
8834260711fffff;5412
8834260715fffff;8227
883426071bfffff;15544
8834260721fffff;5860
8834260725fffff;3037
8834260735fffff;7612
8834260739fffff;10269
883426073dfffff;6501
88342608c1fffff;1995
88342608c9fffff;14465
883426092bfffff;5208
8834260967fffff;2406
88342609e9fffff;2905
8834260d13fffff;2362
8834260d23fffff;8769
8834260d35fffff;4968
8834260dc1fffff;1898
8834260dc9fffff;9658
8834260e13fffff;2352
8834260e65fffff;3956
8834260ecbfffff;11913
8834260eddfffff;2388
8834264295fffff;2651
88342644dbfffff;1909
8834264693fffff;8593
8834264697fffff;9908
8834264699fffff;3266
88342646a1fffff;5526
88342646b5fffff;5576
88342646b7fffff;4875
88342646bdfffff;4973
8834264701fffff;4463
8834264769fffff;4551
88342655e5fffff;1731
8834267265fffff;4805
883426726bfffff;2980
8834267345fffff;19863
8834267349fffff;4322
8834267361fffff;56198
8834267365fffff;6702
8834267369fffff;6561
883426736bfffff;44874
883426736dfffff;29368
8834348929fffff;2318
883434c265fffff;1799
883434c61dfffff;945
883434d1b1fffff;2350
883434d825fffff;3491
883434d919fffff;2893
883434d953fffff;6316
883434d95bfffff;4648
883434d9c3fffff;2596
883460db49fffff;1497
883460db4dfffff;11458
883464722dfffff;8090
8834647263fffff;10276
8834647267fffff;2381
8834647353fffff;5704
883466060bfffff;2274
8834660611fffff;3490
883466061dfffff;3417
88346606c7fffff;3927
88346606c9fffff;2963
88346606cdfffff;8667
88346606d1fffff;1712
88346606d3fffff;4082
88346606dbfffff;4604
88346606ddfffff;3584
88346614a7fffff;3165
8834661591fffff;4610
8834663247fffff;15150
883466325bfffff;9984
883466a011fffff;1808
883466a013fffff;8900
883466a025fffff;4308
883466a0c5fffff;8320
883466a0cdfffff;6845
883466a0d1fffff;2482
883466a127fffff;2247
883466a401fffff;22758
883466a407fffff;34298
883466a40dfffff;3858
